2022-03-24 22:33:39,947 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,952 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,958 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,963 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,967 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,973 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,978 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,983 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,988 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,993 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,998 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,004 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,009 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,014 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,019 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,024 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,029 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,034 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,040 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,045 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,049 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,055 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,060 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,065 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,070 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,076 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,081 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,087 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,093 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,099 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,105 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,110 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,115 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,120 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,126 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,131 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,136 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,142 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,148 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,153 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,159 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,164 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,169 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,175 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,180 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,185 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,190 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,196 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
